,StopPointRef,CommonName_x,LocalityName_x,LocalityQualifier,AtcoCode,NaptanCode,PlateCode,CleardownCode,CommonName_y,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName_y,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
119513,0180BAC30891,Monger Lane,Thicket Mead,Bath & NE Somerset,0180BAC30891,bthatmp,,,Monger Lane,en,,,,,West Road,en,,,E-bound,en,E,N0060712,Thicket Mead,Midsomer Norton,Norton-Radstock,,,,,0,U,366185,154991,-2.4863424682,51.2930339256,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119514,0180BAC30891,Monger Lane,Thicket Mead,Bath & NE Somerset,0180BAC30891,bthatmp,,,Monger Lane,en,,,,,West Road,en,,,E-bound,en,E,N0060712,Thicket Mead,Midsomer Norton,Norton-Radstock,,,,,0,U,366185,154991,-2.4863424682,51.2930339256,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119515,0180BAC30891,Monger Lane,Thicket Mead,Bath & NE Somerset,0180BAC30891,bthatmp,,,Monger Lane,en,,,,,West Road,en,,,E-bound,en,E,N0060712,Thicket Mead,Midsomer Norton,Norton-Radstock,,,,,0,U,366185,154991,-2.4863424682,51.2930339256,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119516,0180BAC30891,Monger Lane,Thicket Mead,Bath & NE Somerset,0180BAC30891,bthatmp,,,Monger Lane,en,,,,,West Road,en,,,E-bound,en,E,N0060712,Thicket Mead,Midsomer Norton,Norton-Radstock,,,,,0,U,366185,154991,-2.4863424682,51.2930339256,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119517,0180BAC30894,Welton Grove,Midsomer Norton,Bath & NE Somerset,0180BAC30894,bthawgj,,,Welton Grove,en,,,,,West Road,en,,,E-bound,en,E,E0035052,Midsomer Norton,Norton-Radstock,,,,,,0,U,366617,154995,-2.4801474502,51.2930954591,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119518,0180BAC30894,Welton Grove,Midsomer Norton,Bath & NE Somerset,0180BAC30894,bthawgj,,,Welton Grove,en,,,,,West Road,en,,,E-bound,en,E,E0035052,Midsomer Norton,Norton-Radstock,,,,,,0,U,366617,154995,-2.4801474502,51.2930954591,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119519,0180BAC30894,Welton Grove,Midsomer Norton,Bath & NE Somerset,0180BAC30894,bthawgj,,,Welton Grove,en,,,,,West Road,en,,,E-bound,en,E,E0035052,Midsomer Norton,Norton-Radstock,,,,,,0,U,366617,154995,-2.4801474502,51.2930954591,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119520,0180BAC30894,Welton Grove,Midsomer Norton,Bath & NE Somerset,0180BAC30894,bthawgj,,,Welton Grove,en,,,,,West Road,en,,,E-bound,en,E,E0035052,Midsomer Norton,Norton-Radstock,,,,,,0,U,366617,154995,-2.4801474502,51.2930954591,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119521,0180BAC30894,Welton Grove,Midsomer Norton,Bath & NE Somerset,0180BAC30894,bthawgj,,,Welton Grove,en,,,,,West Road,en,,,E-bound,en,E,E0035052,Midsomer Norton,Norton-Radstock,,,,,,0,U,366617,154995,-2.4801474502,51.2930954591,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119522,0180BAC30896,Valley Walk,Midsomer Norton,Bath & NE Somerset,0180BAC30896,bthawmp,,,Valley Walk,en,,,,,Station Road,en,,,S-bound,en,S,E0035052,Midsomer Norton,Norton-Radstock,,,,,,0,U,366801,154878,-2.4774977544,51.2920542172,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
